Designator,Mid X,Mid Y,Rotation,Layer
A1,119.78,-124.37,90.0,top
C1,146.5675,-126.02,180.0,bottom
C2,146.5675,-124.05,180.0,bottom
J1,170.0,-130.77,0.0,top
J8,150.27,-130.52,90.0,top
R3,104.25,-137.25,0.0,top
R4,124.25,-137.25,0.0,top
R5,144.75,-137.25,0.0,top
R6,165.0,-137.25,0.0,top
R7,114.25,-157.5,0.0,top
R8,134.6525,-157.5,0.0,top
R9,155.1525,-157.5,0.0,top
SW1,107.42,-142.91,0.0,top
SW2,127.81,-142.95,0.0,top
SW3,148.06,-142.95,0.0,top
SW4,168.42,-142.95,0.0,top
SW5,117.56,-163.2,0.0,top
SW6,138.0,-163.16,0.0,top
SW7,158.33,-163.16,0.0,top
